data_operacao,descricao,doc,valor,tipo,mes
2024-01-08,PAGAMENTO CAESB 3104,672209,"138,44",debito,JANEIRO
2024-01-08,PAGAMENTO CAESB 3104,674011,"150,24",debito,JANEIRO
2024-01-08,PAGAMENTO CAESB 3104,675127,"37,31",debito,JANEIRO
2024-01-08,PAGAMENTO CAESB 3104,667508,"90,42",debito,JANEIRO
2024-01-08,DEBITO PIX Daniel jose dos sant 0103,000000,"3.845,07",debito,JANEIRO
2024-01-08,DEBITO AUXILIO ALIMENTACAO 0103,442369,"924,00",debito,JANEIRO
2024-01-08,DEBITO PAGAMENTO FERIAS 0103,432044,"6.654,45",debito,JANEIRO
2024-01-09,CREDITO COBRANCA BRB,000040,"28.206,29",credito,JANEIRO
2024-01-09,COBRANCA DIRETA MODALIDADE 1,000000,"448,50",debito,JANEIRO
2024-01-09,CREDITO COBRANCA BRB,000009,"5.480,36",credito,JANEIRO
2024-01-09,DEBITO PIX ANTONIO VENANCIO DA 0103,000000,"4,05",debito,JANEIRO
2024-01-09,APL BRB RENDE FACIL FIRF CP AU,001435,"25.493,40",debito,JANEIRO
2024-01-09,SAQUE DIN AG CHEQUE,001362,"1.174,80",debito,JANEIRO
2024-01-09,SAQUE DIN AG CHEQUE,001361,"5.000,00",debito,JANEIRO
2024-01-09,DEBITO TRANSF ELETR ENTRE C/C VIA JD BOTANICO MAT 2800091287,525280,"169,50",debito,JANEIRO
2024-01-09,DEBITO PIX 0103,000000,"237,00",debito,JANEIRO
2024-01-09,DEBITO PIX KALUNGA SA 0103,000000,"1.159,40",debito,JANEIRO
2024-01-10,DEBITO COBRANCA OUTRO BANCO,663779,"666,34",debito,JANEIRO
2024-01-10,DEBITO COBRANCA OUTRO BANCO,664575,"648,70",debito,JANEIRO
2024-01-10,DEBITO COBRANCA OUTRO BANCO,666258,"640,00",debito,JANEIRO
2024-01-10,DEBITO COBRANCA OUTRO BANCO,667191,"577,65",debito,JANEIRO
2024-01-10,DEBITO COBRANCA OUTRO BANCO,674225,"270,00",debito,JANEIRO
2024-01-10,DEBITO AUXILIO TRANSPORTE 0103,341965,"3.058,40",debito,JANEIRO
2024-01-10,TRANSF ELETRONICA DE POUPANCA,523086,"20.000,00",credito,JANEIRO
2024-01-10,CREDITO COBRANCA BRB,000021,"14.270,26",credito,JANEIRO
2024-01-10,COBRANCA DIRETA MODALIDADE 1,000000,"318,50",debito,JANEIRO
2024-01-10,TARIFA CREDITO PAGAMENTO,100124,"38,50",debito,JANEIRO
2024-01-10,TARIFA CREDITO PAGAMENTO,100124,"84,00",debito,JANEIRO
2024-01-10,CREDITO COBRANCA BRB,000260,"176.106,36",credito,JANEIRO
2024-01-10,APL BRB RENDE FACIL FIRF CP AU,001395,"105.116,16",debito,JANEIRO
2024-01-10,DEBITO COBRANCA OUTRO BANCO,662790,"592,07",debito,JANEIRO
2024-01-10,DEBITO COBRANCA OUTRO BANCO,702396,"41.973,60",debito,JANEIRO
2024-01-10,DEBITO COBRANCA OUTRO BANCO,661839,"798,96",debito,JANEIRO
2024-01-10,CLARO SP DDD 11 3104,658592,"67,49",debito,JANEIRO
2024-01-10,DEBITO COBRANCA OUTRO BANCO,659935,"647,42",debito,JANEIRO
2024-01-10,DEBITO PIX 0103,000000,"6.270,00",debito,JANEIRO
2024-01-10,DEBITO AUXILIO ALIMENTACAO 0103,879731,"3.029,00",debito,JANEIRO
2024-01-10,DEBITO AUXILIO ALIMENTACAO 0103,895009,"17.160,00",debito,JANEIRO
2024-01-10,DEBITO AUXILIO TRANSPORTE 0103,900283,"1.201,20",debito,JANEIRO
2024-01-10,DEBITO AUXILIO ALIMENTACAO 0103,019647,"14.740,00",debito,JANEIRO
2024-01-10,DEBITO PIX MAYKON MATIAS OLIVEI 0103,000000,"1.289,60",debito,JANEIRO
2024-01-10,DEBITO AUXILIO ALIMENTACAO 0103,905927,"4.576,00",debito,JANEIRO
2024-01-10,DEBITO PIX Antonio Dhekson Oliv 0103,000000,"1.289,60",debito,JANEIRO
2024-01-10,DEBITO PIX Francely de F tima B 0103,000000,"1.341,60",debito,JANEIRO
2024-01-10,DEBITO PIX 0103,000000,"206,40",debito,JANEIRO
2024-01-10,DEBITO PIX Lucas de Castro Curc 0103,000000,"825,00",debito,JANEIRO
2024-01-10,PAGAMENTO COBRANCA BRB 3104,656537,"1.428,00",debito,JANEIRO
2024-01-10,DEBITO COBRANCA OUTRO BANCO,660801,"696,83",debito,JANEIRO
2024-01-10,DEBITO PIX Paulo Gomes dos Sant 0103,000000,"825,60",debito,JANEIRO
2024-01-11,SAQUE DIN AG CHEQUE,001363,"7.942,24",debito,JANEIRO
2024-01-11,RESGATE FUNDOS,001370,"111.653,26",credito,JANEIRO
2024-01-11,CREDITO COBRANCA BRB,000008,"5.388,16",credito,JANEIRO
2024-01-11,COBRANCA DIRETA MODALIDADE 1,000000,"1.826,50",debito,JANEIRO
2024-01-11,CREDITO COBRANCA BRB,000001,"750,00",credito,JANEIRO
2024-01-11,DEBITO PIX 0103,000000,"2.830,00",debito,JANEIRO
2024-01-11,DEBITO COBRANCA OUTRO BANCO,450559,"329,67",debito,JANEIRO
2024-01-11,DEBITO PIX ENIO CURSINO DOS SAN 0103,000000,"1.174,80",debito,JANEIRO
2024-01-11,PAGAMENTO TRIBUTO FEDERAL 3104,447546,"62.015,12",debito,JANEIRO
2024-01-11,DEBITO TED PAG0108 C.CORRENTE O C MARTINS TRANSPOR 0000000553,000000,"21.560,00",debito,JANEIRO
2024-01-11,DEBITO TRANSF ELETR ENTRE C/C COOP TRAB RECICLA MA 0570525802,523057,"14.581,41",debito,JANEIRO
2024-01-11,DEBITO PIX 0103,000000,"1.780,00",debito,JANEIRO
2024-01-11,DEBITO TRANSF ELETR ENTRE C/C ROMULO JUNIO SOARES 2040258455,523204,"1.320,00",debito,JANEIRO
2024-01-11,DEBITO PIX 0103,000000,"1.320,00",debito,JANEIRO
2024-01-11,DEBITO COBRANCA OUTRO BANCO,448944,"1.111,68",debito,JANEIRO
2024-01-12,COBRANCA DIRETA MODALIDADE 1,000000,"58,50",debito,JANEIRO
2024-01-12,RESGATE FUNDOS,001660,"3.956,10",credito,JANEIRO
2024-01-12,CREDITO COBRANCA BRB,000001,"750,00",credito,JANEIRO
2024-01-12,DEBITO PIX 0103,000000,"500,00",debito,JANEIRO
2024-01-12,DEBITO TRANSF ELETR ENTRE C/C VIA JD BOTANICO MAT 2800091287,525280,"377,90",debito,JANEIRO
2024-01-12,DEBITO PIX GRUPO CASAS BAHIA S 0103,000000,"1.345,90",debito,JANEIRO
2024-01-12,DEBITO PIX 0103,000000,"1.086,80",debito,JANEIRO
2024-01-12,DEBITO PIX J G SERVICOS DE PREM 0103,000000,"237,00",debito,JANEIRO
2024-01-12,DEBITO PIX 18325236 WILTON BARB 0103,000000,"1.100,00",debito,JANEIRO
2024-01-15,APL BRB RENDE FACIL FIRF CP AU,001333,"7.939,57",debito,JANEIRO
2024-01-15,CREDITO COBRANCA BRB,000015,"11.266,84",credito,JANEIRO
2024-01-15,CREDITO COBRANCA BRB,000002,"1.500,00",credito,JANEIRO
2024-01-15,PAGAMENTO COBRANCA BRB 3104,854034,"1.810,31",debito,JANEIRO
2024-01-15,CLARO SP DDD 11 3104,850099,"67,49",debito,JANEIRO
2024-01-15,COBRANCA DIRETA MODALIDADE 1,000000,"6,50",debito,JANEIRO
2024-01-15,CLARO SP DDD 11 3104,847647,"354,09",debito,JANEIRO
2024-01-15,DEBITO COBRANCA OUTRO BANCO,845703,"1.009,93",debito,JANEIRO
2024-01-15,CLARO SP DDD 11 3104,844058,"357,56",debito,JANEIRO
2024-01-15,DEBITO COBRANCA OUTRO BANCO,906307,"964,48",debito,JANEIRO
2024-01-15,DEBITO PIX MESQUITA FERRAMENTAS 0103,000000,"32,00",debito,JANEIRO
2024-01-15,CLARO SP DDD 11 3104,849321,"224,91",debito,JANEIRO
2024-01-16,RESGATE FUNDOS,001378,"1.652,53",credito,JANEIRO
2024-01-16,CREDITO COBRANCA BRB,000006,"2.489,07",credito,JANEIRO
2024-01-16,COBRANCA DIRETA MODALIDADE 1,000000,"110,50",debito,JANEIRO
2024-01-16,DEBITO PIX 52 733 853 DJENE PER 0103,000000,"1.105,00",debito,JANEIRO
2024-01-16,CREDITO DE TED STR C.CORRENTE GRUPO CASAS BAHIA S,050054,"1.345,90",credito,JANEIRO
2024-01-16,DEBITO PIX Romilson Aparecido d 0103,000000,"2.100,00",debito,JANEIRO
2024-01-16,DEBITO PIX DARCLEY DA SILVA MEI 0103,000000,"2.172,00",debito,JANEIRO
2024-01-17,TARIFA CREDITO PAGAMENTO,170124,"3,50",debito,JANEIRO
2024-01-17,RESGATE FUNDOS,001373,"41.619,58",credito,JANEIRO
2024-01-17,CREDITO COBRANCA BRB,000002,"1.340,00",credito,JANEIRO
2024-01-17,COBRANCA DIRETA MODALIDADE 1,000000,"39,00",debito,JANEIRO
2024-01-17,SAQUE DIN AG CHEQUE,001364,"300,00",debito,JANEIRO
2024-01-17,DEBITO PIX 0103,000000,"1.400,00",debito,JANEIRO
2024-01-17,PAGAMENTO FGTS 3104,200116,"21.011,58",debito,JANEIRO
2024-01-17,DEBITO RESCISAO 0103,906398,"16.705,50",debito,JANEIRO
2024-01-17,DEBITO PIX 0103,000000,"3.500,00",debito,JANEIRO
2024-01-18,DEBITO PIX 0103,000000,"114,00",debito,JANEIRO
2024-01-18,DEBITO PIX 0103,000000,"1.760,00",debito,JANEIRO
2024-01-18,DEBITO PIX Erivan Soares de Oli 0103,000000,"200,00",debito,JANEIRO
2024-01-18,DEBITO PIX 0103,000000,"3.400,00",debito,JANEIRO
2024-01-18,COBRANCA DIRETA MODALIDADE 1,000000,"13,00",debito,JANEIRO
2024-01-18,PACOTE CORPORATE PREMIUM,000000,"299,90",debito,JANEIRO
2024-01-18,CREDITO COBRANCA BRB,000002,"796,52",credito,JANEIRO
2024-01-18,RESGATE FUNDOS,001625,"4.990,38",credito,JANEIRO
2024-01-19,DEBITO PIX 0103,000000,"185,00",debito,JANEIRO
2024-01-19,CREDITO COBRANCA BRB,000001,"747,08",credito,JANEIRO
2024-01-19,COBRANCA DIRETA MODALIDADE 1,000000,"13,00",debito,JANEIRO
2024-01-19,PAGAMENTO TRIBUTO GDF 3104,314935,"1.085,54",debito,JANEIRO
2024-01-19,PAGAMENTO TRIBUTO FEDERAL 3104,314328,"25,86",debito,JANEIRO
2024-01-19,PAGAMENTO TRIBUTO FEDERAL 3104,313566,"80,18",debito,JANEIRO
2024-01-19,DEBITO PIX 0103,000000,"129,00",debito,JANEIRO
2024-01-19,DEBITO PIX Robson Rocha de Souz 0103,000000,"1.000,00",debito,JANEIRO
2024-01-19,DEBITO PIX LEANE MARIA RAMOS SA 0103,000000,"1.000,00",debito,JANEIRO
2024-01-19,RESGATE FUNDOS,001529,"3.863,60",credito,JANEIRO
2024-01-19,DEBITO PIX IVANA SILVEIRA SOUTO 0103,000000,"277,10",debito,JANEIRO
2024-01-19,DEBITO PIX 0103,000000,"565,00",debito,JANEIRO
2024-01-19,DEBITO PIX 0103,000000,"250,00",debito,JANEIRO
2024-01-22,CREDITO COBRANCA BRB,000007,"4.284,97",credito,JANEIRO
2024-01-22,COBRANCA DIRETA MODALIDADE 1,000000,"6,50",debito,JANEIRO
2024-01-22,APL BRB RENDE FACIL FIRF CP AU,001238,"768,45",debito,JANEIRO
2024-01-22,CREDITO COBRANCA BRB,000001,"766,74",credito,JANEIRO
2024-01-22,DEBITO PIX 0103,000000,"100,00",debito,JANEIRO
2024-01-22,DEBITO PIX IMM COMERCIO DE PROD 0103,000000,"125,00",debito,JANEIRO
2024-01-22,DEBITO TED PAG0108 C.CORRENTE PAMC GARANTIA DE CRE 0000000223,000000,"2.421,24",debito,JANEIRO
2024-01-22,DEBITO PIX 0103,000000,"490,00",debito,JANEIRO
2024-01-22,DEBITO PIX ARMAZEM DO FAZENDEIR 0103,000000,"90,52",debito,JANEIRO
2024-01-22,DEBITO PIX EVERTON MOREIRA DE S 0103,000000,"1.050,00",debito,JANEIRO
2024-01-23,DEBITO NEOENERGIA BRASILIA 3104,480461,"181,31",debito,JANEIRO
2024-01-23,CREDITO COBRANCA BRB,000004,"6.403,15",credito,JANEIRO
2024-01-23,COBRANCA DIRETA MODALIDADE 1,000000,"52,00",debito,JANEIRO
2024-01-23,DEBITO PIX 0103,000000,"1.106,30",debito,JANEIRO
2024-01-23,DEBITO PIX AGROPECUARIA OLIVEIR 0103,000000,"960,00",debito,JANEIRO
2024-01-23,DEBITO PIX COMERCIAL ALVORADA D 0103,000000,"145,81",debito,JANEIRO
2024-01-23,DEBITO COBRANCA OUTRO BANCO,523528,"475,00",debito,JANEIRO
2024-01-23,DEBITO COBRANCA OUTRO BANCO,516275,"2.470,00",debito,JANEIRO
2024-01-23,DEBITO TED PAG0108 C.CORRENTE DENILTON DA CONCEICA 0000010534,000000,"3.000,00",debito,JANEIRO
2024-01-23,PAGAMENTO DARF PRETO 0103,543796,"2.168,10",debito,JANEIRO
2024-01-23,DEBITO NEOENERGIA BRASILIA 3104,481947,"99,26",debito,JANEIRO
2024-01-23,DEBITO NEOENERGIA BRASILIA 3104,479750,"140,25",debito,JANEIRO
2024-01-23,RESGATE FUNDOS,001385,"21.204,13",credito,JANEIRO
2024-01-23,DEBITO NEOENERGIA BRASILIA 3104,478853,"107,45",debito,JANEIRO
2024-01-23,DEBITO NEOENERGIA BRASILIA 3104,477837,"2.353,86",debito,JANEIRO
2024-01-23,DEBITO NEOENERGIA BRASILIA 3104,477251,"1.138,38",debito,JANEIRO
2024-01-23,DEBITO NEOENERGIA BRASILIA 3104,476578,"1.236,40",debito,JANEIRO
2024-01-23,DEBITO NEOENERGIA BRASILIA 3104,475532,"352,70",debito,JANEIRO
2024-01-23,PAGAMENTO COBRANCA BRB 3104,474681,"2.698,88",debito,JANEIRO
2024-01-23,DEBITO NEOENERGIA BRASILIA 3104,473700,"8.744,07",debito,JANEIRO
2024-01-23,DEBITO PIX 0103,000000,"650,00",debito,JANEIRO
2024-01-23,CREDITO COBRANCA BRB,000002,"1.533,48",credito,JANEIRO
2024-01-23,DEBITO NEOENERGIA BRASILIA 3104,481259,"1.060,99",debito,JANEIRO
2024-01-24,COBRANCA DIRETA MODALIDADE 1,000000,"26,00",debito,JANEIRO
2024-01-24,DEBITO COBRANCA OUTRO BANCO,117289,"380,40",debito,JANEIRO
2024-01-24,CREDITO COBRANCA BRB,000021,"11.217,21",credito,JANEIRO
2024-01-24,APL BRB RENDE FACIL FIRF CP AU,001181,"10.036,31",debito,JANEIRO
2024-01-24,DEBITO PIX 0103,000000,"58,50",debito,JANEIRO
2024-01-24,DEBITO PIX CENTRO OESTE PEDRAS 0103,000000,"90,00",debito,JANEIRO
2024-01-24,DEBITO PIX 0103,000000,"92,00",debito,JANEIRO
2024-01-24,DEBITO COBRANCA OUTRO BANCO,116300,"294,00",debito,JANEIRO
2024-01-24,DEBITO PIX IMM COMERCIO DE PROD 0103,000000,"240,00",debito,JANEIRO
2024-01-25,DEBITO PIX 0103,000000,"239,80",debito,JANEIRO
2024-01-25,COBRANCA DIRETA MODALIDADE 1,000000,"136,50",debito,JANEIRO
2024-01-25,CREDITO COBRANCA BRB,000011,"7.000,21",credito,JANEIRO
2024-01-25,APL BRB RENDE FACIL FIRF CP AU,001150,"6.623,91",debito,JANEIRO
2024-01-26,DEBITO PIX 0103,000000,"4.450,00",debito,JANEIRO
2024-01-26,CREDITO COBRANCA BRB,000001,"670,00",credito,JANEIRO
2024-01-26,COBRANCA DIRETA MODALIDADE 1,000000,"71,50",debito,JANEIRO
2024-01-26,CREDITO COBRANCA BRB,000005,"2.373,94",credito,JANEIRO
2024-01-26,RESGATE FUNDOS,001382,"1.477,56",credito,JANEIRO
2024-01-29,APL BRB RENDE FACIL FIRF CP AU,001285,"6.247,63",debito,JANEIRO
2024-01-29,CREDITO COBRANCA BRB,000010,"6.874,11",credito,JANEIRO
2024-01-29,COBRANCA DIRETA MODALIDADE 1,000000,"39,00",debito,JANEIRO
2024-01-29,DEBITO PIX MORRO AZUL COMERCIO 0103,000000,"587,48",debito,JANEIRO
2024-01-30,DEBITO PIX VM materiais de cons 0103,000000,"153,00",debito,JANEIRO
2024-01-30,DEBITO PAGAMENTO FERIAS 0103,489776,"12.430,75",debito,JANEIRO
2024-01-30,DEBITO AUXILIO ALIMENTACAO 0103,493507,"2.403,00",debito,JANEIRO
2024-01-30,DEBITO PIX FUTURISTA MOVEIS LTD 0103,000000,"564,78",debito,JANEIRO
2024-01-30,DEBITO PIX RELMIX INFORMATICA 0103,000000,"343,00",debito,JANEIRO
2024-01-30,DEBITO PIX IVANA SILVEIRA SOUTO 0103,000000,"198,73",debito,JANEIRO
2024-01-30,COBRANCA DIRETA MODALIDADE 1,000000,"65,00",debito,JANEIRO
2024-01-30,TARIFA CREDITO PAGAMENTO,300124,"10,50",debito,JANEIRO
2024-01-30,TARIFA CREDITO PAGAMENTO,300124,"10,50",debito,JANEIRO
2024-01-30,CREDITO COBRANCA BRB,000008,"5.277,87",credito,JANEIRO
2024-01-30,RESGATE FUNDOS,001358,"10.901,39",credito,JANEIRO
2024-01-31,CREDITO COBRANCA BRB,000006,"4.045,00",credito,JANEIRO
2024-01-31,APL BRB RENDE FACIL FIRF CP AU,001302,"4.663,00",debito,JANEIRO
2024-01-31,COBRANCA DIRETA MODALIDADE 1,000000,"52,00",debito,JANEIRO
2024-01-31,CREDITO COBRANCA BRB,000001,"670,00",credito,JANEIRO
2024-02-01,CREDITO COBRANCA BRB,000028,"19.343,42",credito,FEVEREIRO
2024-02-01,APL BRB RENDE FACIL FIRF CP AU,001326,"21.532,11",debito,FEVEREIRO
2024-02-02,DEBITO PIX 0103,000000,"1.100,00",debito,FEVEREIRO
2024-02-02,DEBITO PIX MAYKON BARROS 0103,000000,"1.300,00",debito,FEVEREIRO
2024-02-02,DEBITO PIX 0103,000000,"7.183,82",debito,FEVEREIRO
2024-02-02,COBRANCA DIRETA MODALIDADE 1,000000,"214,50",debito,FEVEREIRO
2024-02-02,CREDITO COBRANCA BRB,000023,"14.877,00",credito,FEVEREIRO
2024-02-02,APL BRB RENDE FACIL FIRF CP AU,001504,"5.078,68",debito,FEVEREIRO
2024-02-05,DEBITO PAGAMENTO FERIAS 0103,067283,"3.961,85",debito,FEVEREIRO
2024-02-05,RESGATE FUNDOS,001686,"824,32",credito,FEVEREIRO
2024-02-05,COBRANCA DIRETA MODALIDADE 1,000000,"149,50",debito,FEVEREIRO
2024-02-05,CREDITO COBRANCA BRB,000010,"6.201,56",credito,FEVEREIRO
2024-02-05,DEBITO AUXILIO ALIMENTACAO 0103,067320,"478,00",debito,FEVEREIRO
2024-02-05,DEBITO PIX 0103,000000,"1.800,00",debito,FEVEREIRO
2024-02-05,DEBITO TRANSF ELETR ENTRE C/C VIA JD BOTANICO MAT 2800091287,525280,"213,40",debito,FEVEREIRO
2024-02-05,DEBITO PIX MORRO AZUL COMERCIO 0103,000000,"316,63",debito,FEVEREIRO
2024-02-05,DEBITO PIX 0103,000000,"14,50",debito,FEVEREIRO
2024-02-05,DEBITO PIX 0103,000000,"92,00",debito,FEVEREIRO
2024-02-06,DEBITO TRANSF ELET P POUPANCA NOME NAO CADASTRADO 1480268574,523148,"415,20",debito,FEVEREIRO
2024-02-06,DEBITO TRANSF ELET P POUPANCA NOME NAO CADASTRADO 1480268574,523148,"900,00",debito,FEVEREIRO
2024-02-06,DEBITO TED PAG0108 C.CORRENTE BARBARA SILVA DOS SA 0000000150,000000,"745,21",debito,FEVEREIRO
2024-02-06,CREDITO DE COBRANCA,000000,"38.239,84",credito,FEVEREIRO
2024-02-06,DEBITO PAGAMENTO DE SALARIO 0103,367389,"83.542,21",debito,FEVEREIRO
2024-02-06,COBRANCA DIRETA MODALIDADE 1,000000,"435,50",debito,FEVEREIRO
2024-02-06,CREDITO COBRANCA BRB,000032,"21.565,49",credito,FEVEREIRO
2024-02-06,APL BRB RENDE FACIL FIRF CP AU,001572,"12.138,30",debito,FEVEREIRO
2024-02-06,CREDITO COBRANCA BRB,000007,"4.897,74",credito,FEVEREIRO
2024-02-06,TRANSF ELETRONICA DE POUPANCA,523086,"52.000,00",credito,FEVEREIRO
2024-02-06,SAQUE DIN AG CHEQUE,001366,"3.000,00",debito,FEVEREIRO
2024-02-06,DEBITO PIX MAYKON MATIAS OLIVEI 0103,000000,"1.536,41",debito,FEVEREIRO
2024-02-06,DEBITO PIX Maike Dias Ribeiro 0103,000000,"804,65",debito,FEVEREIRO
2024-02-06,DEBITO PIX 0103,000000,"2.192,35",debito,FEVEREIRO
2024-02-06,DEBITO PIX Francely de F tima B 0103,000000,"908,75",debito,FEVEREIRO
2024-02-06,DEBITO PIX Antonio Dhekson Oliv 0103,000000,"3.294,10",debito,FEVEREIRO
2024-02-06,DEBITO PIX 0103,000000,"203,70",debito,FEVEREIRO
2024-02-06,DEBITO PIX Paulo Gomes dos Sant 0103,000000,"2.427,85",debito,FEVEREIRO
2024-02-06,SAQUE DIN AG CHEQUE,001367,"1.256,68",debito,FEVEREIRO
2024-02-06,SAQUE DIN AG CHEQUE,001365,"2.902,16",debito,FEVEREIRO
2024-02-07,RESGATE FUNDOS,001988,"9.983,67",credito,FEVEREIRO
2024-02-07,CREDITO COBRANCA BRB,000033,"22.386,48",credito,FEVEREIRO
2024-02-07,COBRANCA DIRETA MODALIDADE 1,000000,"253,50",debito,FEVEREIRO
2024-02-07,CREDITO COBRANCA BRB,000006,"4.020,00",credito,FEVEREIRO
2024-02-07,DEBITO COBRANCA OUTRO BANCO,403888,"3.182,15",debito,FEVEREIRO
2024-02-07,DEBITO COBRANCA OUTRO BANCO,388235,"400,00",debito,FEVEREIRO
2024-02-07,DEBITO PIX 0103,000000,"133,47",debito,FEVEREIRO
2024-02-07,PAGAMENTO CAESB 3104,726275,"37,31",debito,FEVEREIRO
2024-02-07,SAQUE DIN AG CHEQUE,001368,"8.453,63",debito,FEVEREIRO
2024-02-07,PAGAMENTO CAESB 3104,724472,"113,54",debito,FEVEREIRO
2024-02-07,PAGAMENTO CAESB 3104,722836,"29,78",debito,FEVEREIRO
2024-02-07,PAGAMENTO CAESB 3104,720774,"62,30",debito,FEVEREIRO
2024-02-07,DEBITO TRANSF ELETR ENTRE C/C PARAMETRO AS CONS CO 0860011640,525086,"9.619,11",debito,FEVEREIRO
2024-02-07,PAGAMENTO FGTS 3104,408442,"11.805,36",debito,FEVEREIRO
2024-02-07,SAQUE DIN AG CHEQUE,001369,"2.300,00",debito,FEVEREIRO
2024-02-08,COBRANCA DIRETA MODALIDADE 1,000000,"253,50",debito,FEVEREIRO
2024-02-08,APL BRB RENDE FACIL FIRF CP AU,001557,"28.098,96",debito,FEVEREIRO
2024-02-08,CRED REGULARIZACAO COBRANCA,000001,"752,25",credito,FEVEREIRO
2024-02-08,CREDITO COBRANCA BRB,000044,"29.070,70",credito,FEVEREIRO
2024-02-08,CREDITO COBRANCA BRB,000005,"2.944,43",credito,FEVEREIRO
2024-02-08,DEBITO PIX 0103,000000,"1.149,00",debito,FEVEREIRO
2024-02-08,CREDITO PIX JORGE M CADDAH JR 0103,000000,"5,66",credito,FEVEREIRO
2024-02-08,DEBITO PIX DF ELETROELETRONICA 0103,000000,"458,58",debito,FEVEREIRO
2024-02-08,DEBITO PIX 0103,000000,"343,00",debito,FEVEREIRO
2024-02-08,DEBITO COBRANCA OUTRO BANCO,263948,"2.470,00",debito,FEVEREIRO
2024-02-09,DEBITO COBRANCA OUTRO BANCO,943534,"647,42",debito,FEVEREIRO
2024-02-09,CLARO SP DDD 11 3104,946407,"67,49",debito,FEVEREIRO
2024-02-09,DEBITO COBRANCA OUTRO BANCO,947710,"577,65",debito,FEVEREIRO
2024-02-09,DEBITO COBRANCA OUTRO BANCO,041948,"3.007,30",debito,FEVEREIRO
2024-02-09,DEBITO PAGAMENTO FERIAS 0103,020170,"8.347,13",debito,FEVEREIRO
2024-02-09,DEBITO AUXILIO ALIMENTACAO 0103,025701,"828,00",debito,FEVEREIRO
2024-02-09,DEBITO TRANSF ELETR ENTRE C/C COOP TRAB RECICLA MA 0570525802,523057,"14.581,41",debito,FEVEREIRO
2024-02-09,COBRANCA DIRETA MODALIDADE 1,000000,"318,50",debito,FEVEREIRO
